Al,Cu,Mg,Zn,Tensile Strength (MPa),Yield Strength (MPa)
-0.0941240039863207,-0.0970873786407767,1.5121951219512144,-0.052,0.41734517761598827,0.23933735857865532
0.9865917235973638,-0.03883495145631068,-0.4878048780487805,-0.052,-0.8030635615982613,-0.6309803089800913
0.9856225422992712,-0.08494233009708738,-0.4878048780487805,0.14814999999999998,-0.8030635615982613,-0.6309803089800913
0.9333170046319704,-0.0970873786407767,-0.4878048780487805,-0.052,-0.9179369124609407,-0.7413720938357884
0.8572102632528378,-0.08737864077669903,-0.4878048780487805,0.028000000000000008,-0.8066718321626448,-0.6213595172233016
0.8572102632528378,-0.0970873786407767,-0.0975609756097561,-0.052,-0.6618592446643812,-0.47867471715731064
0.8572102632528378,-0.0970873786407767,-0.0975609756097561,-0.052,-0.6675904817897749,-0.4713437964576931
0.8001302072184883,-0.0970873786407767,-0.24390243902439024,-0.052,-0.621515154111844,-0.47867471715731064
0.7811035218737051,-0.0970873786407767,-0.4878048780487805,-0.052,-0.695406751864349,-0.5013469406108148
0.7582714994599657,-0.03883495145631068,-0.4878048780487805,-0.052,-0.7022033352169184,-0.5004326588462793
0.6904875629978312,-0.04850723300970874,-0.09726804878048781,0.44837520000000003,-0.6618592446643812,-0.5004326588462793
0.5999405187762746,-0.072791213592233,-0.4145608780487805,0.3484004,-0.6820312899406498,-0.5221906005352479
0.590627260726968,-0.02423543689320389,-0.24378043902439514,0.7484004000000001,-0.5811710635593068,-0.4764989229884138
0.41900608324989064,-0.060643155339805827,0.5131961463414634,0.2483004,-0.37743340626899413,-0.30243538947666443
0.22398389033383817,-0.07279733009708739,1.0255252195121949,0.3483004,-0.278590384415278,-0.30896277198335503
0.2140654314770864,-0.07278514563106796,0.8309166829268292,0.4486256,-0.13536886295377104,-0.10878970844484333
0.17679811023916883,-0.07280946601941747,1.2199391219512192,0.3481,-0.13536886295377104,-0.10878970844484333
-0.24633748674458394,-0.0970873786407767,2.439024390243902,-0.052,0.3063989285965111,0.21757941688968666
0.9865917235973638,-0.03883495145631068,-0.4878048780487805,-0.052,-0.722375380493187,-0.5221906005352479
0.8572102632528378,-0.0970873786407767,-0.0975609756097561,-0.052,-0.5811710635593068,-0.391642950401436
0.8001302072184883,-0.0970873786407767,-0.24390243902439024,-0.052,-0.520654927730501,-0.391642950401436
0.7582714994599657,-0.03883495145631068,-0.4878048780487805,-0.052,-0.6013431088355754,-0.391642950401436
0.6904875629978312,-0.04850723300970874,-0.09726804878048781,0.44837520000000003,-0.5811710635593068,-0.41340089209040465
0.22398389033383817,-0.07279733009708739,1.0255252195121949,0.3483004,-0.18781618067206937,-0.20887624021409917
-0.02354866251725102,-0.06065228155339805,1.7089646341463411,0.44837520000000003,0.06029997622603427,-0.03698850087124673
1.007521077476625,-0.0970873786407767,-0.4878048780487805,-0.052,-0.8344881022372188,-0.6513626613764232
1.003982114002495,-0.0941747572815534,-0.48487804878048785,-0.04959999999999999,-0.8434076521507985,
0.9865917235973638,-0.03883495145631068,-0.4878048780487805,-0.052,-0.6416871993881126,-0.47867471715731064
0.9713703753215368,-0.07281553398058252,-0.4878048780487805,-0.052,-0.8066718321626448,-0.6213595172233016
0.9656536174428443,-0.08980436893203883,-0.4878048780487805,-0.052,-0.750616243879963,-0.911657756767787
0.9333170046319704,-0.0970873786407767,-0.4878048780487805,-0.052,-0.7788555620880708,-0.5913563730701799
0.9142903192871873,-0.07281553398058252,-0.47317073170731705,0.06799999999999999,-0.723223021938923,-0.6213595172233016
0.861015600321794,-0.07281553398058252,-0.46341463414634143,0.148,-0.722375380493187,
0.8572102632528378,-0.08737864077669903,-0.4878048780487805,0.028000000000000008,-0.6397742117152011,-0.4713437964576931
0.8572102632528378,-0.0970873786407767,-0.0975609756097561,-0.052,-0.5006928613423313,-0.2913249315389628
0.8572102632528378,-0.0970873786407767,-0.0975609756097561,-0.052,-0.5004828824542324,-0.2828532419565926
0.8001302072184883,-0.0970873786407767,-0.24390243902439024,-0.052,-0.43996674662542673,-0.2828532419565926
0.7811035218737051,-0.0970873786407767,-0.4878048780487805,-0.052,-0.5006928613423313,-0.3213280756920846
0.7668335078651172,-0.03640776699029126,-0.4878048780487805,0.348,-0.6416871993881126,
0.7582714994599657,-0.03883495145631068,-0.4878048780487805,-0.052,-0.5004828824542324,-0.32636912533453
