doi,name,series,caption,AA_des,YS,UTS,temper,elong,flag,flag_note
10.1007/978-3-319-00765-6_8,Al 6082,6000,Mechanical properties of Al 6082,6082,260,340,,11,FALSE,
10.1016/s0254-0584(01)00536-3,6061,6000,Contents and mechanical properties of Al606l/SiCp,6061,,600,,,FALSE,
10.1016/j.solmat.2017.06.063,CSEW,6000,Mechanical properties of the concentrated solar energy weld (CSEW) as well as the 6082-T6 base metal (BM).,6082,156,226,T6,9.1,FALSE,
10.1016/j.solmat.2017.06.063,BM,6000,Mechanical properties of the concentrated solar energy weld (CSEW) as well as the 6082-T6 base metal (BM).,6082,289,334,T6,7.5,FALSE,
10.1016/j.apsusc.2006.02.060,AA6063,6000,Mechanical properties of test materials,6063,150,185,,7,FALSE,
10.1016/j.apsusc.2006.02.060,AA6061,6000,Mechanical properties of test materials,6061,118,190,,14,FALSE,
10.1016/j.msea.2015.06.036,ST,6000,Mechanical properties of Al 6061 alloy after MDF followed by peak ageing treatment.,6061,50,172,,,FALSE,
10.1016/j.msea.2015.06.036,T6,6000,Mechanical properties of Al 6061 alloy after MDF followed by peak ageing treatment.,6061,220,330,T6,,FALSE,
10.1016/j.msea.2015.06.036,3C,6000,Mechanical properties of Al 6061 alloy after MDF followed by peak ageing treatment.,6061,295,310,,,FALSE,
10.1016/j.msea.2015.06.036,6C,6000,Mechanical properties of Al 6061 alloy after MDF followed by peak ageing treatment.,6061,334,350,,,FALSE,
10.1016/j.msea.2015.06.036,9C,6000,Mechanical properties of Al 6061 alloy after MDF followed by peak ageing treatment.,6061,374,388,,,FALSE,
10.1016/j.msea.2015.06.036,3C+PA,6000,Mechanical properties of Al 6061 alloy after MDF followed by peak ageing treatment.,6061,324,389,,,FALSE,
10.1016/j.msea.2015.06.036,6C+PA,6000,Mechanical properties of Al 6061 alloy after MDF followed by peak ageing treatment.,6061,361,422,,,FALSE,
10.1016/j.msea.2015.06.036,9C+PA,6000,Mechanical properties of Al 6061 alloy after MDF followed by peak ageing treatment.,6061,409,472,,,FALSE,
10.1016/s0921-5093(02)00456-2,6063UA,6000,Mechanical properties of the alloys in different aging conditions,6063,67,164,,26,FALSE,
10.1016/s0921-5093(02)00456-2,6063PA,6000,Mechanical properties of the alloys in different aging conditions,6063,220,259,,15,FALSE,
10.1016/s0921-5093(02)00456-2,6082UA,6000,Mechanical properties of the alloys in different aging conditions,6082,142,190,,18,FALSE,
10.1016/s0921-5093(02)00456-2,6082PA,6000,Mechanical properties of the alloys in different aging conditions,6082,256,300,,14,FALSE,
10.1016/s0921-5093(00)00805-4,6005A T6,6000,Mechanical properties of the aluminum alloys,6005,260,285,T6,12,FALSE,
10.1016/s0921-5093(00)00805-4,6082 T6,6000,Mechanical properties of the aluminum alloys,6082,280,315,T6,12,FALSE,
10.1016/j.msea.2016.10.027,RD,6000,Mechanical properties of AA-6061 (T6) aluminium alloy sheet obtained using tension test and r-bar test.,6061,,308,T6,,FALSE,
10.1016/j.msea.2016.10.027,ID,6000,Mechanical properties of AA-6061 (T6) aluminium alloy sheet obtained using tension test and r-bar test.,6061,,293,T6,,FALSE,
10.1016/j.msea.2016.10.027,TD,6000,Mechanical properties of AA-6061 (T6) aluminium alloy sheet obtained using tension test and r-bar test.,6061,,274,T6,,FALSE,
10.1016/j.msea.2015.06.046,6061 aluminum,6000,YS and UTS values in tested alloys in the as received and flow formed conditions.,6061,170,195,,,FALSE,
10.1016/j.msea.2015.10.014,Pass 0,6000,The tensile properties of 6082 aluminum alloy before and after the ECFE process up to the four passes.,6082,87,140,,33,FALSE,
10.1016/j.msea.2015.10.014,Pass 1,6000,The tensile properties of 6082 aluminum alloy before and after the ECFE process up to the four passes.,6082,148,163,,20.5,FALSE,
10.1016/j.msea.2015.10.014,Pass 2,6000,The tensile properties of 6082 aluminum alloy before and after the ECFE process up to the four passes.,6082,166,172,,18.3,FALSE,
10.1016/j.msea.2015.10.014,Pass 3,6000,The tensile properties of 6082 aluminum alloy before and after the ECFE process up to the four passes.,6082,170,177,,17,FALSE,
10.1016/j.msea.2015.10.014,Pass 4,6000,The tensile properties of 6082 aluminum alloy before and after the ECFE process up to the four passes.,6082,175.5,181,,18.2,FALSE,
10.1016/j.msea.2015.07.059,A,6000,Mechanical properties of the T4P treated sheets.,,113,237,T4,26.3,FALSE,
10.1016/j.msea.2015.07.059,A,6000,Mechanical properties of the T4P treated sheets.,,105,224,T4,25.3,FALSE,
10.1016/j.msea.2015.07.059,A,6000,Mechanical properties of the T4P treated sheets.,,105,223,T4,24.9,FALSE,
10.1016/j.msea.2015.07.059,B,6000,Mechanical properties of the T4P treated sheets.,,162,306,T4,25.4,FALSE,
10.1016/j.msea.2015.07.059,B,6000,Mechanical properties of the T4P treated sheets.,,154,293,T4,28.1,FALSE,
10.1016/j.msea.2015.07.059,B,6000,Mechanical properties of the T4P treated sheets.,,157,299,T4,25.8,FALSE,
10.1016/j.msea.2006.09.122,A6061,6000,"Mechanical properties of A6061, Al-MMCs, AZ91D and Mg-MMCs",6061,,103,,,FALSE,
10.1016/j.msea.2006.09.122,Al-10MMC,6000,"Mechanical properties of A6061, Al-MMCs, AZ91D and Mg-MMCs",6061,,132,,,FALSE,
10.1016/j.msea.2006.09.122,Al-18MMC,6000,"Mechanical properties of A6061, Al-MMCs, AZ91D and Mg-MMCs",6061,,157,,,FALSE,
10.1016/j.msea.2006.09.122,Al-25MMC,6000,"Mechanical properties of A6061, Al-MMCs, AZ91D and Mg-MMCs",6061,,182,,,FALSE,
