doi,name,series,caption,AA_des,YS,UTS,temper,elong,flag,flag_note
10.1016/j.msea.2003.10.237,ECAE,1000,Room temperature tensile properties of the 1560 alloy,1560,355,435,,,TRUE,SPD: ECAE
10.1016/j.msea.2003.10.237,,1000,Room temperature tensile properties of the 1560 alloy,1560,350,415,,,TRUE,SPD: ECAE
10.1016/j.msea.2003.10.237,,1000,Room temperature tensile properties of the 1560 alloy,1560,195,380,,,TRUE,SPD: ECAE
10.1016/j.msea.2009.11.069,Al 1100,1000,Specifications of the commercial purity aluminum.,1100,169.1,186.4,,6.02,FALSE,
10.1007/s11661-016-3375-0,1.5,1000,Tensile Properties of Al 1100-H18 Sheets,1100,180.2,191.3,H18,,FALSE,
10.1007/s11661-016-3375-0,2,1000,Tensile Properties of Al 1100-H18 Sheets,1100,177.2,188.3,H18,,FALSE,
10.1007/s11661-016-3375-0,2.5,1000,Tensile Properties of Al 1100-H18 Sheets,1100,165.3,175.3,H18,,FALSE,
10.1016/j.msea.2012.12.046,As-received,1000,Tensile properties of Cp Al 1050 in various swaged conditions.,1050,20,72,,120,FALSE,
10.1016/j.msea.2012.12.046,ph=0.4,1000,Tensile properties of Cp Al 1050 in various swaged conditions.,1050,87,91,,18,FALSE,
10.1016/j.msea.2012.12.046,ph=0.8,1000,Tensile properties of Cp Al 1050 in various swaged conditions.,1050,111,112,,15.1,FALSE,
10.1016/j.msea.2012.12.046,ph=2,1000,Tensile properties of Cp Al 1050 in various swaged conditions.,1050,137,139,,12.9,FALSE,
10.1016/j.msea.2012.12.046,ph=3,1000,Tensile properties of Cp Al 1050 in various swaged conditions.,1050,158,163,,11.6,FALSE,
10.1016/j.msea.2003.10.237,CT,1000,Room temperature tensile properties of the 1560 alloy,1560,310,400,,,FALSE,
10.1016/j.msea.2003.10.237,,1000,Room temperature tensile properties of the 1560 alloy,1560,170,345,,,FALSE,
10.1007/s10853-013-7792-9,Ultra fine grain (UFG),1000,Tensile and hardness properties of Al 1050 in various conditions,1050,5,163,,11.6,FALSE,
10.1007/s10853-013-7792-9,Fine grain (FG),1000,Tensile and hardness properties of Al 1050 in various conditions,1050,33,68,,37.3,FALSE,
10.1007/s10853-013-7792-9,Coarse grain (CG),1000,Tensile and hardness properties of Al 1050 in various conditions,1050,52,72,,43.1,FALSE,
10.1007/s00339-016-0305-3,T250V2,1000,Yield strength (YS) and ultimate tensile strength (UTS) obtained from the room temperature tensile tests,,82.4,91,T250,,FALSE,
10.1007/s00339-016-0305-3,T250V4,1000,Yield strength (YS) and ultimate tensile strength (UTS) obtained from the room temperature tensile tests,,98,110.1,T250,,FALSE,
10.1007/s00339-016-0305-3,T200V2,1000,Yield strength (YS) and ultimate tensile strength (UTS) obtained from the room temperature tensile tests,,100.7,113.3,T200,,FALSE,
10.1007/s00339-016-0305-3,T200V4,1000,Yield strength (YS) and ultimate tensile strength (UTS) obtained from the room temperature tensile tests,,107.5,119.5,T200,,FALSE,
10.1007/s00339-016-0305-3,T150V2,1000,Yield strength (YS) and ultimate tensile strength (UTS) obtained from the room temperature tensile tests,,103.4,114.6,T150,,FALSE,
10.1007/s00339-016-0305-3,T150V4,1000,Yield strength (YS) and ultimate tensile strength (UTS) obtained from the room temperature tensile tests,,114.5,121.9,T150,,FALSE,
10.1007/s00339-016-0305-3,T100V4,1000,Yield strength (YS) and ultimate tensile strength (UTS) obtained from the room temperature tensile tests,,187.1,196.5,T100,,FALSE,
10.1016/j.jmatprotec.2007.06.074,Al-2Mg,1000,Mechanical properties of Al-2Mg base composites,,48,73,,,FALSE,
10.1016/j.jmatprotec.2007.06.074,Al-2Mg-2.5FeCu,1000,Mechanical properties of Al-2Mg base composites,,74,98,,,FALSE,
10.1016/j.jmatprotec.2007.06.074,Al-2Mg-5FeCu,1000,Mechanical properties of Al-2Mg base composites,,122,162,,,FALSE,
10.1016/j.jmatprotec.2007.06.074,Al-2Mg-10FeCu,1000,Mechanical properties of Al-2Mg base composites,,,108,,,FALSE,
10.1016/j.jallcom.2016.07.177,Annealed,1000,Tensile properties of AA1050 under different conditions.,1050,50.2,113.4,,,FALSE,
10.1016/j.jallcom.2016.07.177,1 cycle ARB,1000,Tensile properties of AA1050 under different conditions.,1050,120.2,161.9,,,FALSE,
10.1016/j.jallcom.2016.07.177,3 cycles ARB,1000,Tensile properties of AA1050 under different conditions.,1050,132.5,178.6,,,FALSE,
10.1016/j.jallcom.2016.07.177,5 cycles ARB,1000,Tensile properties of AA1050 under different conditions.,1050,140.2,185.6,,,FALSE,
10.1016/j.jallcom.2016.07.177,7 cycles ARB,1000,Tensile properties of AA1050 under different conditions.,1050,150.2,188.1,,,FALSE,
10.1016/j.jallcom.2016.07.177,9 cycles ARB,1000,Tensile properties of AA1050 under different conditions.,1050,160.2,192.2,,,FALSE,
10.1016/j.msea.2014.08.038,2A97,2000,Nominal chemical compositions and mechanical properties of 2A97 Al-Li alloy.,,,443.5,,18.5,FALSE,
10.1016/j.jmatprotec.2017.04.024,Value,2000,Mechanical properties of 2A12-T4.,,334.5,448.5,T4,17.2,FALSE,
10.1007/s11661-013-1778-8,3.8 to 4.9,2000,Chemical Compositions and Mechanical Properties of 2024Al-T351 Rolled Plate,2024,338,480,T351,,FALSE,
10.1016/j.msea.2015.12.101,SLM,2000,Tensile properties of the SLMed samples and AA 2024 in different state according to ASTM B209-07.,2024,276.2,402.4,,6,FALSE,
10.1016/j.msea.2015.12.101,AA 2024-O,2000,Tensile properties of the SLMed samples and AA 2024 in different state according to ASTM B209-07.,2024,75,185,,12,FALSE,
10.1016/j.msea.2015.12.101,AA 2024-T6,2000,Tensile properties of the SLMed samples and AA 2024 in different state according to ASTM B209-07.,2024,393,476,T6,10,FALSE,
10.1007/s11661-016-3807-x,T87 (Starting Condition),2000,"Room-Temperature Uniaxial Tensile Properties, Hardness, and Electrical Conductivity Results Obtained for the Different Cryorolled Conditions in the Present Study",,394,485,T87,,FALSE,
10.1016/j.jmatprotec.2005.02.006,EN AW-2124,2000,Properties of investigated composites material reinforced with Al2O3 ceramic particles,2124,262,416,,,FALSE,
10.1016/j.jmatprotec.2005.02.006,EN AW-2124/5% Al2O3,2000,Properties of investigated composites material reinforced with Al2O3 ceramic particles,2124,227,392,,,FALSE,
10.1016/j.jmatprotec.2005.02.006,EN AW-2124/10% Al2O3,2000,Properties of investigated composites material reinforced with Al2O3 ceramic particles,2124,246,406,,,FALSE,
10.1016/j.jmatprotec.2005.02.006,EN AW-2124/15% Al2O3,2000,Properties of investigated composites material reinforced with Al2O3 ceramic particles,2124,260,425,,,FALSE,
10.1016/j.msea.2008.03.017,2195-T8,2000,Tensile properties for the as received AA 2195-T8,2195,503,537,T8,,FALSE,
10.1016/j.matlet.2013.08.093,T4,2000,Mechanical properties of Al 2024 monolithic specimens and bond strength of laminated specimens.,2024,,457,T4,21,FALSE,
10.1016/j.matlet.2013.08.093,T62,2000,Mechanical properties of Al 2024 monolithic specimens and bond strength of laminated specimens.,2024,,449,T62,6,FALSE,
10.1016/j.jmatprotec.2008.04.020,2024 T45,2000,Material properties of the aluminium alloys 2024 T45 and 7075 T65,2024,,425,T45,21,FALSE,
10.1016/j.jmatprotec.2008.04.020,7075 T65,2000,Material properties of the aluminium alloys 2024 T45 and 7075 T65,7075,,570,T65,10,FALSE,
10.1007/s11663-016-0611-3,7.9,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,258,309,T351,,FALSE,
10.1007/s11663-016-0611-3,7.2,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,251,328,T351,,FALSE,
10.1007/s11663-016-0611-3,5.2,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,230,297,T351,,FALSE,
10.1007/s11663-016-0611-3,4.4,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,214,255,T351,,FALSE,
10.1007/s11663-016-0611-3,3,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,197,231,T351,,FALSE,
10.1007/s11663-016-0611-3,4.7,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,227,286,T351,,FALSE,
10.1007/s11663-016-0611-3,6.5,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,253,319,T351,,FALSE,
10.1007/s11663-016-0611-3,8,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,263,335,T351,,FALSE,
10.1007/s11663-016-0611-3,7.1,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,254,301,T351,,FALSE,
10.1007/s11663-016-0611-3,4.2,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,209,273,T351,,FALSE,
10.1007/s11663-016-0611-3,3.5,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,202,260,T351,,FALSE,
10.1007/s11663-016-0611-3,5.4,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,236,294,T351,,FALSE,
10.1007/s11663-016-0611-3,6.6,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,245,305,T351,,FALSE,
10.1007/s11663-016-0611-3,7.9,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,261,326,T351,,FALSE,
10.1007/s11663-016-0611-3,6.8,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,247,301,T351,,FALSE,
10.1007/s11663-016-0611-3,2.9,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,194,228,T351,,FALSE,
10.1007/s11663-016-0611-3,5.3,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,223,272,T351,,FALSE,
10.1007/s11663-016-0611-3,6.1,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,231,289,T351,,FALSE,
10.1007/s11663-016-0611-3,6.7,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,244,310,T351,,FALSE,
10.1007/s11663-016-0611-3,7.8,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,257,324,T351,,FALSE,
10.1007/s11663-016-0611-3,17.8,2000,Transverse Tensile Properties of FSW 2024-T351 Joints,2024,324,429,T351,,FALSE,
10.1016/j.msea.2016.12.087,BM,2000,Tensile properties of base metal and FSW joints of AA2014.,2014,410,469,,9.14,FALSE,
10.1016/j.msea.2016.12.087,NC,2000,Tensile properties of base metal and FSW joints of AA2014.,2014,208,323,,68.8,FALSE,
10.1016/j.msea.2016.12.087,WC,2000,Tensile properties of base metal and FSW joints of AA2014.,2014,237,379,,77.9,FALSE,
10.1007/s11661-010-0377-1,BM,2000,Tensile Parameters of AA2219 Parent and Weld Metals,2219,358,440,,,FALSE,
10.1007/s11661-010-0377-1,AW,2000,Tensile Parameters of AA2219 Parent and Weld Metals,2219,138,248,,,FALSE,
10.1007/s11661-010-0377-1,RW,2000,Tensile Parameters of AA2219 Parent and Weld Metals,2219,126,251,,,FALSE,
10.1007/s11661-012-1117-5,BM,2000,Tensile Parameters of AA2219 Parent and Weld Metals,2219,358,440,,,FALSE,
10.1007/s11661-012-1117-5,SP,2000,Tensile Parameters of AA2219 Parent and Weld Metals,2219,138,248,,,FALSE,
10.1007/s11661-012-1117-5,MP,2000,Tensile Parameters of AA2219 Parent and Weld Metals,2219,185,258,,,FALSE,
10.1016/j.conbuildmat.2015.01.001,1,2000,Nominal and actual ultimate bearing strengths of GF-PEI/AA2198/Ti gr.2 joints.,2198,,178,,,FALSE,
10.1016/j.conbuildmat.2015.01.001,2,2000,Nominal and actual ultimate bearing strengths of GF-PEI/AA2198/Ti gr.2 joints.,2198,,168,,,FALSE,
10.1016/j.conbuildmat.2015.01.001,3,2000,Nominal and actual ultimate bearing strengths of GF-PEI/AA2198/Ti gr.2 joints.,2198,,100,,,FALSE,
10.1016/j.conbuildmat.2015.01.001,4,2000,Nominal and actual ultimate bearing strengths of GF-PEI/AA2198/Ti gr.2 joints.,2198,,179,,,FALSE,
10.1016/j.conbuildmat.2015.01.001,5,2000,Nominal and actual ultimate bearing strengths of GF-PEI/AA2198/Ti gr.2 joints.,2198,,145,,,FALSE,
10.1016/j.conbuildmat.2015.01.001,6,2000,Nominal and actual ultimate bearing strengths of GF-PEI/AA2198/Ti gr.2 joints.,2198,,100,,,FALSE,
10.1016/j.conbuildmat.2015.01.001,7,2000,Nominal and actual ultimate bearing strengths of GF-PEI/AA2198/Ti gr.2 joints.,2198,,199,,,FALSE,
10.1016/j.conbuildmat.2015.01.001,8,2000,Nominal and actual ultimate bearing strengths of GF-PEI/AA2198/Ti gr.2 joints.,2198,,127,,,FALSE,
10.1016/j.conbuildmat.2015.01.001,9,2000,Nominal and actual ultimate bearing strengths of GF-PEI/AA2198/Ti gr.2 joints.,2198,,122,,,FALSE,
10.1016/j.conbuildmat.2015.01.001,Avg.,2000,Nominal and actual ultimate bearing strengths of GF-PEI/AA2198/Ti gr.2 joints.,2198,,146,,,FALSE,
10.1016/j.conbuildmat.2015.01.001,Std.,2000,Nominal and actual ultimate bearing strengths of GF-PEI/AA2198/Ti gr.2 joints.,2198,,39,,,FALSE,
10.1007/s10853-009-3735-x,Bal.,2000,o chemical composition and tensile strength of 2024-T4 aluminum alloy plate,2024,320,450,T4,9,FALSE,
10.1016/j.matdes.2015.09.151,T3 + tempered - 2050 base material,2000,Tensile properties of the base material and of the mid-thickness of the nugget of second pass.,2050,540,560,T3,11,FALSE,
10.1016/j.matdes.2015.08.003,T34 metallurgical state,2000,Tensile mechanical properties of the AA2050-T34 and -T84 alloy at 25 degC.,2050,280,470,T34,20,FALSE,
10.1016/j.matdes.2015.08.003,T84 metallurgical state,2000,Tensile mechanical properties of the AA2050-T34 and -T84 alloy at 25 degC.,2050,520,590,T84,10.5,FALSE,
10.1016/j.jmatprotec.2006.01.009,485 MPa,2000,Mechanical properties and chemical compositions of Al 2024-T3,2024,285,485,T3,,FALSE,
10.1007/s11661-014-2207-3,Literature[],2000,Tensile Properties of Al-Si-Cu Alloys in Literature[] and Al-Cu Alloys Used in the Present Work,,205,260,,,FALSE,
10.1007/s11661-014-2207-3,Literature[],2000,Tensile Properties of Al-Si-Cu Alloys in Literature[] and Al-Cu Alloys Used in the Present Work,,205,285,,,FALSE,
10.1007/s11661-014-2207-3,Literature[],2000,Tensile Properties of Al-Si-Cu Alloys in Literature[] and Al-Cu Alloys Used in the Present Work,,255,330,,,FALSE,
10.1007/s11661-014-2207-3,Literature[],2000,Tensile Properties of Al-Si-Cu Alloys in Literature[] and Al-Cu Alloys Used in the Present Work,,262,262,,,FALSE,
10.1007/s11661-014-2207-3,Present work,2000,Tensile Properties of Al-Si-Cu Alloys in Literature[] and Al-Cu Alloys Used in the Present Work,,270,393,,,FALSE,
10.1007/s11661-014-2207-3,Present work,2000,Tensile Properties of Al-Si-Cu Alloys in Literature[] and Al-Cu Alloys Used in the Present Work,,427,450,,,FALSE,
10.1007/s11661-014-2207-3,Present work,2000,Tensile Properties of Al-Si-Cu Alloys in Literature[] and Al-Cu Alloys Used in the Present Work,,262,362,,,FALSE,
10.1007/s11661-014-2207-3,Present work,2000,Tensile Properties of Al-Si-Cu Alloys in Literature[] and Al-Cu Alloys Used in the Present Work,,384,424,,,FALSE,
10.1016/j.matdes.2015.06.044,580,2000,Selected mechanical and physical properties of the CF-PPS used in this work.,,,119,,,FALSE,
10.1016/j.msea.2009.04.049,2195-T8,2000,Tensile properties for as-received AA 2195-T8.,2195,503,537,T8,,FALSE,
10.1016/j.ijfatigue.2007.12.002,Base metal,2000,Mechanical properties of base metal,,390,470,,15,FALSE,
10.1016/j.ijfatigue.2007.12.002,BM,2000,Transverse tensile properties of EB welded AA2219 aluminium alloy,2219,390,470,,15,FALSE,
10.1016/j.ijfatigue.2007.12.002,AW,2000,Transverse tensile properties of EB welded AA2219 aluminium alloy,2219,215,275,,9,FALSE,
10.1016/j.ijfatigue.2007.12.002,AA,2000,Transverse tensile properties of EB welded AA2219 aluminium alloy,2219,260,340,,11.6,FALSE,
10.1016/j.ijfatigue.2007.12.002,ST,2000,Transverse tensile properties of EB welded AA2219 aluminium alloy,2219,243,304,,10.5,FALSE,
10.1016/j.ijfatigue.2007.12.002,STA,2000,Transverse tensile properties of EB welded AA2219 aluminium alloy,2219,295,370,,13,FALSE,
10.1007/s11661-008-9739-3,T3,2000,Mechanical Properties of Material,,316,459,T3,,FALSE,
10.1016/j.msea.2011.08.015,0 (as-received),2000,Tensile properties measured along the longitudinal axis of the ECAP-processed aluminum 2024 alloy.,2024,410,505,,11.4,FALSE,
10.1016/j.msea.2011.08.015,1,2000,Tensile properties measured along the longitudinal axis of the ECAP-processed aluminum 2024 alloy.,2024,462,521,,10.3,FALSE,
10.1016/j.msea.2011.08.015,3,2000,Tensile properties measured along the longitudinal axis of the ECAP-processed aluminum 2024 alloy.,2024,462,514,,10,FALSE,
10.1016/j.msea.2011.08.015,6,2000,Tensile properties measured along the longitudinal axis of the ECAP-processed aluminum 2024 alloy.,2024,470,523,,11.1,FALSE,
10.1016/j.msea.2012.07.064,T7A,2000,Tensile properties of the experimental 206 alloy (in different temper conditions) and A206 alloy.,,,302,T7,376,FALSE,
10.1016/j.msea.2012.07.064,T7B,2000,Tensile properties of the experimental 206 alloy (in different temper conditions) and A206 alloy.,,,324,T7,391,FALSE,
10.1016/j.msea.2012.07.064,T7C,2000,Tensile properties of the experimental 206 alloy (in different temper conditions) and A206 alloy.,,,296,T7,366,FALSE,
10.1016/j.msea.2012.07.064,T71,2000,Tensile properties of the experimental 206 alloy (in different temper conditions) and A206 alloy.,,,347,T71,436,FALSE,
10.1016/j.msea.2010.12.045,2024-T351,2000,Mechanical properties of the as-received Al 2024-T351 alloy (UTS: ultimate tensile strength; YS: yield stress; HV: Vickers Hardness).,2024,285,435,T351,12,FALSE,
10.1016/j.scriptamat.2011.12.011,0,2000,Room-temperature tensile properties of Al-Cu-Mg-Ge alloy after exposure at 150 degC for various times.,,347.3,415.3,,17.8,FALSE,
10.1016/j.scriptamat.2011.12.011,500,2000,Room-temperature tensile properties of Al-Cu-Mg-Ge alloy after exposure at 150 degC for various times.,,320,412.7,,13.6,FALSE,
10.1016/j.scriptamat.2011.12.011,1000,2000,Room-temperature tensile properties of Al-Cu-Mg-Ge alloy after exposure at 150 degC for various times.,1000,305.1,401.5,,11.6,FALSE,
10.1016/j.jmatprotec.2005.11.020,Al2024 O,2000,Material properties,2024,75.8,89.6,,,FALSE,
10.1016/j.jmatprotec.2005.11.020,Al2024 T3,2000,Material properties,2024,345,283,T3,,FALSE,
10.1016/j.jmatprotec.2007.08.070,Base metal (2219-T87),2000,Tensile properties of fusion zone (as-welded and deformed welds),2219,365,456,T87,,FALSE,
10.1016/j.jmatprotec.2007.08.070,Base metal (2219-T87),2000,Tensile properties of deformed and aged GTA welds,2219,365,456,T87,,FALSE,
10.1016/j.scriptamat.2006.04.013,Bal.,2000,Chemical compositions and mechanical properties of 2219-O aluminum alloy,2219,114,159,O,17.5,FALSE,
10.1016/j.msea.2013.07.002,Unreinforced alloy,2000,"Comparative study on the mechanical properties of the unreinforced alloy, homogeneous and network structured (Al3Zrp+Al2O3np)/2024Al composite.",2024,105,220,,12,FALSE,
10.1016/j.msea.2013.07.002,Homogeneous distribution,2000,"Comparative study on the mechanical properties of the unreinforced alloy, homogeneous and network structured (Al3Zrp+Al2O3np)/2024Al composite.",2024,168,232,,1.33,FALSE,
10.1016/j.msea.2013.07.002,Network distribution,2000,"Comparative study on the mechanical properties of the unreinforced alloy, homogeneous and network structured (Al3Zrp+Al2O3np)/2024Al composite.",2024,175,261,,2.3,FALSE,
10.1016/j.matdes.2007.11.005,Base metal,2000,Mechanical properties of base metal,,392,475,,15,FALSE,
10.1016/j.matdes.2007.11.005,BM,2000,Transverse tensile properties of EB welded AA2219 aluminium alloy,2219,390,470,,15,FALSE,
10.1016/j.matdes.2007.11.005,AW,2000,Transverse tensile properties of EB welded AA2219 aluminium alloy,2219,215,275,,9,FALSE,
10.1016/j.matdes.2007.11.005,AA,2000,Transverse tensile properties of EB welded AA2219 aluminium alloy,2219,260,340,,11.6,FALSE,
10.1016/j.matdes.2007.11.005,ST,2000,Transverse tensile properties of EB welded AA2219 aluminium alloy,2219,243,304,,10.5,FALSE,
10.1016/j.matdes.2007.11.005,STA,2000,Transverse tensile properties of EB welded AA2219 aluminium alloy,2219,295,370,,13,FALSE,
10.1016/j.msea.2006.04.087,2024-T351 base metal,2000,"Tensile properties of AA2024-T351, 2524-T351 base metal and their FSW nuggets (obtained from unnotched specimens)",2024,322.5,769.1,T351,21.2,FALSE,
10.1016/j.msea.2006.04.087,2524-T351 base metal,2000,"Tensile properties of AA2024-T351, 2524-T351 base metal and their FSW nuggets (obtained from unnotched specimens)",2524,335.2,784.7,T351,21,FALSE,
10.1016/j.msea.2006.04.087,2024-FSW nugget,2000,"Tensile properties of AA2024-T351, 2524-T351 base metal and their FSW nuggets (obtained from unnotched specimens)",2024,315,775.9,T351,20.9,FALSE,
10.1016/j.msea.2006.04.087,2524-FSW nugget,2000,"Tensile properties of AA2024-T351, 2524-T351 base metal and their FSW nuggets (obtained from unnotched specimens)",2524,304.7,772,T351,24.6,FALSE,
10.1016/j.msea.2006.04.087,2024BM,2000,"Calculated max stress and strain at notch root based on Neuber's rule (the stress concentration factor, Kt = 4.32 for the notch geometry shown in )",2024,,769.1,,,FALSE,
10.1016/j.msea.2006.04.087,2024FSW nugget,2000,"Calculated max stress and strain at notch root based on Neuber's rule (the stress concentration factor, Kt = 4.32 for the notch geometry shown in )",2024,,775.9,,,FALSE,
10.1016/j.msea.2006.04.087,2524BM,2000,"Calculated max stress and strain at notch root based on Neuber's rule (the stress concentration factor, Kt = 4.32 for the notch geometry shown in )",2524,,784.7,,,FALSE,
10.1016/j.msea.2006.04.087,2524FSW nugget,2000,"Calculated max stress and strain at notch root based on Neuber's rule (the stress concentration factor, Kt = 4.32 for the notch geometry shown in )",2524,,772,,,FALSE,
10.1007/s11661-016-3332-y,L,2000,Tensile Parameters of AA2219 Parent and Weld Metals (50 mm Gage Length),2219,358,440,,,FALSE,
10.1007/s11661-016-3332-y,LT,2000,Tensile Parameters of AA2219 Parent and Weld Metals (50 mm Gage Length),2219,376,459,,,FALSE,
10.1007/s11661-016-3332-y,C,2000,Tensile Parameters of AA2219 Parent and Weld Metals (50 mm Gage Length),2219,337,443,,,FALSE,
10.1007/s11661-016-3332-y,R,2000,Tensile Parameters of AA2219 Parent and Weld Metals (50 mm Gage Length),2219,339,450,,,FALSE,
10.1007/s11661-016-3332-y,A,2000,Tensile Parameters of AA2219 Parent and Weld Metals (50 mm Gage Length),2219,348,449,,,FALSE,
10.1007/s11661-016-3332-y,PP,2000,Tensile Parameters of AA2219 Parent and Weld Metals (50 mm Gage Length),2219,185,285,,,FALSE,
10.1007/s11661-016-3332-y,PR,2000,Tensile Parameters of AA2219 Parent and Weld Metals (50 mm Gage Length),2219,168,288,,,FALSE,
10.1016/j.matdes.2016.08.004,L-T,2000,Mechanical properties of 2524 alloy.,2524,319,464,,20.1,FALSE,
10.1016/s0921-5093(00)01912-2,-54,2000,Tensile properties of aluminum alloy 2524-T351,2524,372,483,T351,30,FALSE,
10.1016/s0921-5093(00)01912-2,,2000,Tensile properties of aluminum alloy 2524-T351,2524,324,489,T351,25,FALSE,
10.1016/s0921-5093(00)01912-2,27,2000,Tensile properties of aluminum alloy 2524-T351,2524,372,469,T351,30,FALSE,
10.1016/s0921-5093(00)01912-2,94,2000,Tensile properties of aluminum alloy 2524-T351,2524,338,448,T351,43,FALSE,
10.1016/s0921-5093(00)01912-2,,2000,Tensile properties of aluminum alloy 2524-T351,2524,324,441,T351,27,FALSE,
10.1016/j.msea.2010.02.057,L direction,2000,Mechanical properties in the longitudinal direction of over-aged Al 2024 alloy after three ECAP passes at 150degC.,2024,,514,,10.3,FALSE,
10.1016/j.msea.2014.12.002,W2,2000,Mechanical properties of the AA2219 DC cast alloy under different heat treatment conditions.,2219,300,375,,3.6,FALSE,
10.1016/j.msea.2014.12.002,A2,2000,Mechanical properties of the AA2219 DC cast alloy under different heat treatment conditions.,2219,120,265,,6.2,FALSE,
10.1016/j.msea.2014.12.002,A6,2000,Mechanical properties of the AA2219 DC cast alloy under different heat treatment conditions.,2219,155,290,,5.3,FALSE,
10.1016/j.msea.2014.12.002,A9,2000,Mechanical properties of the AA2219 DC cast alloy under different heat treatment conditions.,2219,175,305,,4.5,FALSE,
10.1016/j.msea.2009.04.056,4.52,2000,Chemical composition and mechanical properties of the alloy.,,75,205,,,FALSE,
10.1016/j.msea.2011.11.025,Al-Cu-Mn,2000,Mechanical properties of the aged alloys.,,114,224,,7.2,FALSE,
10.1016/j.msea.2011.11.025,Al-Cu-Mn-Ce,2000,Mechanical properties of the aged alloys.,,76.7,182.9,,5.4,FALSE,
10.1016/j.msea.2014.10.029,T8,2000,The mechanical properties of the samples with different tempers.,,467.7,520.3,T8,8.8,FALSE,
10.1016/j.msea.2014.10.029,T9,2000,The mechanical properties of the samples with different tempers.,,492.6,533.4,T9,8.5,FALSE,
10.1016/j.msea.2013.08.001,L,2000,Tensile properties of alloy AA2195T87.,2195,,557,T87,,FALSE,
10.1016/j.msea.2013.08.001,LT,2000,Tensile properties of alloy AA2195T87.,2195,,521,T87,,FALSE,
10.1016/j.msea.2013.08.001,L,2000,Tensile properties of alloy AA2195T87.,2195,,602,T87,,FALSE,
10.1016/j.msea.2013.08.001,LT,2000,Tensile properties of alloy AA2195T87.,2195,,572,T87,,FALSE,
10.1016/j.msea.2013.08.001,L,2000,Tensile properties of alloy AA2195T87.,2195,,650,T87,,FALSE,
10.1016/j.msea.2013.08.001,LT,2000,Tensile properties of alloy AA2195T87.,2195,,616,T87,,FALSE,
10.1016/j.msea.2007.02.100,1,2000,Room temperature tensile properties of friction welded aluminum alloy 2024-T8,2024,445,476,T8,16.48,FALSE,
10.1016/j.msea.2007.02.100,1,2000,Room temperature tensile properties of friction welded aluminum alloy 2024-T8,2024,322,436,T8,5.5,FALSE,
10.1016/j.msea.2007.02.100,2,2000,Room temperature tensile properties of friction welded aluminum alloy 2024-T8,2024,326,453,T8,3,FALSE,
10.1016/j.msea.2007.02.100,Average,2000,Room temperature tensile properties of friction welded aluminum alloy 2024-T8,2024,324,444.5,T8,4.25,FALSE,
10.1016/j.msea.2007.02.100,1,2000,Room temperature tensile properties of friction welded aluminum alloy 2024-T8,2024,321,397,T8,5.04,FALSE,
10.1016/j.msea.2007.02.100,2,2000,Room temperature tensile properties of friction welded aluminum alloy 2024-T8,2024,329,401,T8,3.44,FALSE,
10.1016/j.msea.2007.02.100,Average,2000,Room temperature tensile properties of friction welded aluminum alloy 2024-T8,2024,325,399,T8,4.24,FALSE,
10.1016/j.msea.2015.04.104,7B85,2000,"Solution and peak-aging tempers for the 6 Al-Zn-Mg-Cu alloys, and the tensile properties and electrical conductivities for the 6 peak-aged aluminum alloys.",,520,578,,,FALSE,
10.1016/j.msea.2015.04.104,7050,2000,"Solution and peak-aging tempers for the 6 Al-Zn-Mg-Cu alloys, and the tensile properties and electrical conductivities for the 6 peak-aged aluminum alloys.",7050,540,620,,,FALSE,
10.1016/j.msea.2015.04.104,7B04,2000,"Solution and peak-aging tempers for the 6 Al-Zn-Mg-Cu alloys, and the tensile properties and electrical conductivities for the 6 peak-aged aluminum alloys.",,577,645,,,FALSE,
10.1016/j.msea.2015.04.104,7150,2000,"Solution and peak-aging tempers for the 6 Al-Zn-Mg-Cu alloys, and the tensile properties and electrical conductivities for the 6 peak-aged aluminum alloys.",7150,582,660,,,FALSE,
10.1016/j.msea.2015.04.104,7055,2000,"Solution and peak-aging tempers for the 6 Al-Zn-Mg-Cu alloys, and the tensile properties and electrical conductivities for the 6 peak-aged aluminum alloys.",7055,595,673,,,FALSE,
